Author,al1Null,data is scraped from sullygnome.com
average_length,average_viewers,created,followers,language,mature,partnered,streamer_name
246,57,13th Oct 2010,4007,English,False,True,진리 (jinritv)
267,402,18th Jan 2017,108138,Korean,False,True,루밍쨩 (1uming)
184,42,20th Jan 2020,1712,English,False,False,2koreanteachers
134,8,7th Dec 2019,477,Korean,False,False,장이랑 (2yirang)
471,6182,17th Jun 2017,441303,English,False,True,39daph
157,8,23rd Dec 2012,207,English,False,False,7thlotus
135,5,11th Aug 2015,122,Chinese (Hong Kong SAR),False,False,小八段_雲妮莎 (8doon_vanessa)
356,383,26th Oct 2016,34706,Korean,False,True,옥희토끼 (9321207_)
282,26,15th Mar 2020,939,English,False,False,AcousticsLove
225,345,29th May 2017,23666,Korean,False,True,아구이뽀 (agueppo)
280,33,31st Dec 2013,3421,English,False,False,Ahlyxa
209,336,2nd Jan 2019,15359,English,False,True,ajol_llama
170,54,9th May 2019,3788,English,False,False,allecakes
166,56,12th Jan 2017,15424,English,False,True,AlyGator
252,12,12th Jan 2019,578,English,False,False,Amariae123
230,219,20th Mar 2019,14856,Korean,False,False,달려라하유니 (angehayun)
190,1700,6th Mar 2015,288972,English,False,True,AngelsKimi
151,20,7th Jun 2020,710,Korean,False,False,꽚꼆 (ann_2_)
328,82,11th Nov 2017,9523,Korean,False,False,아리아님 (aria_fairy)
515,1221,12th May 2014,159690,English,False,True,AriaSaki
276,232,11th Jul 2015,25353,English,False,True,Arilyna
73,27,3rd Sep 2017,8188,Portuguese,False,False,ArissaHoriye
346,80,2nd Aug 2013,20227,English,False,True,ashleykan
187,11,28th Apr 2020,187,Japanese,False,False,asukasenpai888
237,80,20th Aug 2019,3946,English,False,False,awKie
196,18,17th Jun 2020,384,Japanese,False,False,aya_nope
361,20,21st Jul 2018,3189,Korean,False,False,또따또따 (az9403)
299,326,22nd Nov 2014,53496,English,False,True,babyhsu888
463,33,7th Dec 2017,1344,English,False,False,babynectar
352,136,21st Nov 2015,14360,English,False,True,badabingbadaboing
408,22,13th Nov 2015,6384,Korean,False,False,최아리_ (badgalahri)
390,321,20th Jun 2013,39400,English,False,True,bawnsai
359,11,23rd Jun 2018,1313,Korean,False,False,뽀삐짱 (bbobbizzang_)
237,231,3rd Nov 2016,120170,Korean,False,True,첫눈에뿅 (bbyongluv)
391,1603,29th Aug 2012,348967,English,False,True,Becca
294,120,8th Oct 2019,6140,English,False,False,beddle1218
210,740,28th Feb 2018,250818,Korean,False,False,빛베리 (berry0314)
229,8,23rd May 2018,256,English,False,False,bettybombs
164,1300,21st Feb 2016,397050,Korean,False,True,악녀 (bgirl_0)
254,5,19th Dec 2016,520,Korean,False,False,비주님 (bijoujjang)
158,122,31st Mar 2016,6339,English,False,True,bintokki
376,334,21st Dec 2016,44152,Korean,False,True,김반희 (bonnysurang)
208,218,26th Feb 2014,12126,English,False,True,bubbly_live
367,700,27th Oct 2016,122073,Korean,False,True,카라멜_ (ca_ramel)
197,51,23rd Mar 2019,1649,English,False,False,ca1lia
235,84,10th May 2016,7373,Japanese,False,True,かぼちゃびん (cabochabin)
285,317,8th Mar 2012,12065,Chinese,False,True,悕悕 (candycee)
256,95,13th Feb 2018,30525,English,False,False,Canninyart
108,153,25th Jul 2018,22481,Chinese,False,True,白噪音 (cantbackdown86)
254,214,25th Jan 2015,53575,Korean,False,True,숑아 (caroline9071)
329,57,6th Mar 2015,3578,English,False,False,carrie_cherie
146,22,6th May 2018,2351,English,False,False,Catherine_Chen
275,34,6th Jun 2016,3778,English,False,False,cathywithaK
312,76,21st Apr 2014,36982,English,False,False,Ceweina
157,46,11th Dec 2017,4261,Thai,False,False,CHANANANX
495,17,8th Jan 2018,3132,Korean,False,False,찬고미 (chanbear_)
168,13,29th Jun 2016,2095,English,False,False,chanelchristine_
215,726,17th Jun 2019,30577,Korean,False,False,채리아 (cherria7)
178,101,10th Feb 2020,9661,English,False,False,CherryCake69
174,65,16th Jul 2019,10660,Chinese,False,False,夏如芝 (cherryhsia)
453,1872,20th Feb 2015,231145,Korean,False,True,꽃핀 (cherrypach)
268,28,12th Dec 2016,3595,Korean,False,True,쿠비94 (chery0505)
242,55,14th Jan 2019,7387,English,False,False,cheskachunes
291,898,15th Dec 2015,117829,Chinese,False,True,阿寧 (chiao622)
224,45,29th Nov 2018,2455,English,False,False,chibinewyen
348,352,19th May 2015,52436,Korean,False,True,리포포 (chicchakunaiyo)
341,78,17th Jan 2013,9554,English,False,False,Chikari
282,21,25th May 2017,3066,Korean,False,True,chocoBori
359,46,4th Aug 2019,691,Korean,False,False,그레이쑤 (chordlinegrace)
199,133,15th Jul 2012,8807,English,False,True,chrchan
251,68,30th Sep 2019,5034,English,False,False,chrissstyboo
353,353,2nd Oct 2019,14966,Korean,False,False,채현찌 (chyeonz)
568,146,2nd Dec 2016,19783,English,False,True,Classic_Christinee
223,88,15th Mar 2017,8423,Portuguese,False,False,CoreanaRabuda
425,208,3rd Apr 2015,45432,English,False,True,courtiebee
288,24,14th Oct 2018,2846,English,False,False,CuteChibiChu
202,6,15th Mar 2020,113,Korean,False,False,링구들 (cuteeiyy)
233,51,1st Jan 2019,3321,English,False,False,cyberbarbie
398,76,10th Jun 2017,29857,Korean,False,True,다현쮸 (dahyeon_chu)
360,131,31st Jan 2018,46788,Korean,False,True,다콩 (dakong_)
298,19,1st Mar 2018,6892,Korean,False,False,달비ᅠ (dalbee)
417,200,31st May 2016,13622,Korean,False,True,다롱이 (dalonge)
116,46,8th Mar 2020,2999,English,False,False,dancerfatal
316,283,23rd Apr 2019,4127,Korean,False,True,갓단미 (danmi_nara)
308,277,23rd Sep 2017,56308,Korean,False,True,_단즈 (danz_59)
137,20,10th Jan 2018,1769,Korean,False,False,서다람 (daramidang)
470,59,15th Mar 2019,22664,Korean,False,True,달다래오 (dardarae)
419,1128,23rd Oct 2016,186884,Korean,False,True,다주 (dda_ju)
306,24,14th Feb 2019,3571,Korean,False,False,따니임 (ddaddana)
230,24,16th Sep 2019,1090,Korean,False,False,또해영 (ddo_haeyoung)
404,297,2nd Dec 2018,28051,Korean,False,True,또보미 (ddobomi514)
344,205,22nd Jun 2018,8255,Korean,False,True,도다람이 (ddraming)
391,76,15th Apr 2016,17404,English,False,True,dearcindyphan
212,2739,25th Mar 2019,81651,English,False,False,표은지 (djhenney)
321,927,11th Dec 2017,214418,Korean,False,True,양아지 (dkwl025)
254,247,29th Mar 2017,10555,Korean,False,True,도화링구 (dohwaa)
148,21,19th Jun 2015,1589,English,False,False,doropai
210,61,12th Feb 2019,1803,Korean,False,False,김도톨_ (dotolkim)
294,769,6th Nov 2018,33110,Chinese,False,True,一顆紅豆 (dou95412)
374,666,23rd Oct 2016,156995,Korean,False,True,서넹 (dua3362)
179,22,19th Jul 2018,675,Korean,False,False,duck_7_
405,284,19th Dec 2019,19715,Korean,False,False,단장002 (dxj002)
229,181,6th Oct 2016,16868,Spanish,False,True,EeveeLinh
299,79,9th Mar 2020,2933,Korean,False,False,에피젤리 (effy_kingp)
233,24,24th Jan 2019,2018,English,False,False,eggieface
351,231,12th Jun 2017,7998,Korean,False,True,애니제독님 (eksldudy)
254,202,26th Dec 2018,20957,Korean,False,True,엘리양 (eliceinwonderland)
544,139,30th May 2019,17629,English,False,True,elliegato
164,8,7th Aug 2018,2545,English,False,False,EmiEmiTV
229,497,2nd Oct 2012,37436,English,False,True,emilyywang
298,335,23rd Aug 2019,26297,English,False,False,eny1ng
480,960,11th Aug 2016,288744,Korean,False,True,에렌디라 (erenjjing)
381,33,7th May 2019,5078,Korean,False,False,묵은지님 (eun2ji)
106,2,24th Mar 2020,84,English,False,False,evelynshaw
189,37,6th Sep 2013,4308,English,False,True,evolutionofevie
390,70,12th Nov 2017,3378,English,False,False,fairywink
